Head,Tail,True_Relation,Model_Output
tell apart,discriminator,_derivationally_related_form,is-a
atrophy,wither,_hypernym,similar-to
run,atrium,_derivationally_related_form,"There is no direct lexical relation between ""run"" and ""atrium"" in the context of WordNet."
scandinavia,kingdom of denmark,_member_meronym,part-of
tip,tilt,_derivationally_related_form,similar-to
thoughtful,mindfulness,_derivationally_related_form,similar-to
cinch,walkover,_derivationally_related_form,similar-to
south korea,asian nation,_instance_hypernym,is-a
shoot,shoot,_derivationally_related_form,similar-to
terminal,extremity,_hypernym,similar-to
match,match,_verb_group,similar-to
whisper,verbalize,_hypernym,is-a
rawness,wholeness,_hypernym,antonym
shrink,shrinking,_derivationally_related_form,derived-from
snooze,sleeping,_hypernym,is-a
suspect,suspicion,_derivationally_related_form,derived-from
genus gerardia,asterid dicot genus,_hypernym,is-a
united states department of defense,nro,_has_part,part-of
federate,federation,_derivationally_related_form,derived-from
anal stage,stage,_hypernym,is-a
wharf,slip,_derivationally_related_form,part-of
journeying,stage,_has_part,part-of
remark,remark,_derivationally_related_form,synonym
transport,transportation,_derivationally_related_form,similar-to
yiddish,shikse,_member_of_domain_usage,is-a
wreak,make,_hypernym,"""similar-to"""
international islamic front for jihad against jews and crusaders,terrorist act,_synset_domain_topic_of,is-a
co-option,naming,_hypernym,"There is no direct lexical relation between ""co-option"" and ""naming"" in the context of WordNet."
finger,finger,_derivationally_related_form,synonym
vitiate,pervert,_derivationally_related_form,similar-to
realization,realize,_derivationally_related_form,"""derived-from"""
strain,breed,_derivationally_related_form,is-a
move into,entrance,_derivationally_related_form,location-for-action
ip,scientific discipline,_hypernym,is-a
lily family,ornithogalum,_member_meronym,is-a
tapioca,foodstuff,_hypernym,is-a
sand viper,viper,_hypernym,is-a
thomas aquinas,theologizer,_instance_hypernym,is-a
spangle,shine,_hypernym,similar-to
antigen,epitope,_has_part,part-of
matrix algebra,maths,_synset_domain_topic_of,is-a
organize,plan,_hypernym,is-a
accompanyist,play along,_derivationally_related_form,similar-to
receive,undergo,_hypernym,similar-to
amenorrhoea,amenorrhoeic,_derivationally_related_form,derived-from
orwell,writer,_instance_hypernym,is-a
seed,sow,_derivationally_related_form,"""used-for"""
sustain,supporter,_derivationally_related_form,agent-of
lily family,liriope,_member_meronym,is-a
whine,whimper,_derivationally_related_form,similar-to
pudendum,privates,_hypernym,synonym
spinacia,caryophylloid dicot genus,_hypernym,is-a
sound law,natural law,_hypernym,is-a
zaire river,river,_instance_hypernym,is-a
optical instrument,lense,_has_part,part-of
subphylum cephalochordata,family branchiostomidae,_member_meronym,is-a
zion,tel aviv-yalo,_has_part,"""part-of"""
rhetoric,nonsensicality,_hypernym,is-a
existent,exist,_derivationally_related_form,"""derived-from"""
deportation,riddance,_hypernym,similar-to
sociology,social science,_hypernym,is-a
emblazon,ornament,_hypernym,similar-to
persian,persian,_derivationally_related_form,similar-to
genus erysimum,dilleniid dicot genus,_hypernym,is-a
puddle,puddle,_derivationally_related_form,synonym
sainthood,saint,_member_meronym,is-a
mire,mire,_verb_group,synonym
parlour grand piano,grand piano,_hypernym,is-a
hood,hood ornament,_has_part,part-of
move,strike,_hypernym,entails
hizb ut-tahrir,terrorist organization,_instance_hypernym,is-a
family agaricaceae,genus cantharellus,_member_meronym,is-a
mombasa,urban center,_instance_hypernym,is-a
scour,purging,_derivationally_related_form,similar-to
manure,organic fertilizer,_hypernym,is-a
berry,berry,_has_part,synonym
curry favour,truckle,_hypernym,similar-to
wagon wheel,wheel spoke,_has_part,part-of
coward,fearful,_derivationally_related_form,similar-to
genus pogonia,monocot genus,_hypernym,is-a
spirodela,monocot genus,_hypernym,is-a
demotion,change,_hypernym,is-a
bill,push,_hypernym,"There is no direct lexical relation between ""bill"" and ""push"" in the context of WordNet."
snuggle,snuggle,_derivationally_related_form,synonym
entrepreneur,enterprise,_derivationally_related_form,part-of
isomerize,isomerization,_derivationally_related_form,derived-from
statement,computer code,_hypernym,derived-from
rwandese republic,watutsi,_member_meronym,part-of
smell,perceive,_hypernym,"""similar-to"""
usa,partridge,_member_of_domain_region,No direct lexical relation
patronymic,name,_hypernym,derived-from
ulex,rosid dicot genus,_hypernym,is-a
relation,relate,_derivationally_related_form,derived-from
rhythm,thump,_derivationally_related_form,part-of
sterculiaceae,genus brachychiton,_member_meronym,is-a
signboard,sign,_derivationally_related_form,is-a
genus pandanus,screw pine,_member_meronym,is-a
plastic film,sheet,_hypernym,is-a
pyrometer,thermometer,_hypernym,is-a
wintertime,time of year,_hypernym,is-a
withdraw,withdrawal,_derivationally_related_form,derived-from
day of the week,civil day,_hypernym,part-of
state of kuwait,kuwait city,_has_part,part-of
rise to power,get at,_derivationally_related_form,"There is no direct lexical relation between ""rise to power"" and ""get at"" in the context of WordNet."
embarrass,upset,_hypernym,similar-to
mandalay,urban center,_instance_hypernym,is-a
primus stove,stove,_hypernym,is-a
tone,tone,_derivationally_related_form,similar-to
stumblebum,clumsy person,_hypernym,is-a
twirler,hurtle,_derivationally_related_form,No direct lexical relation
saratoga chip,snack food,_hypernym,is-a
register,register,_derivationally_related_form,is-a
drumfish,sciaenid fish,_hypernym,is-a
travel,travel,_derivationally_related_form,is-a
standing army,regular army,_hypernym,similar-to
pyrrhocoridae,arthropod family,_hypernym,is-a
sparring,tilt,_hypernym,similar-to
pleasure craft,cruise,_derivationally_related_form,is-a
tabulation,investigation,_hypernym,derived-from
sarcostyle,strand,_hypernym,part-of
electrical system,starting motor,_has_part,part-of
dislocation,crush,_derivationally_related_form,no direct relation
purge,purging,_derivationally_related_form,derived-from
snuffle,blubberer,_derivationally_related_form,similar-to
compressible,squeeze,_derivationally_related_form,similar-to
land,take,_hypernym,derived-from
mystify,veil,_hypernym,similar-to
strewing,spread out,_derivationally_related_form,similar-to
run,tangle,_derivationally_related_form,"There is no direct lexical relation between ""run"" and ""tangle"" in WordNet."
stock,stock,_derivationally_related_form,similar-to
icon,symbol,_hypernym,is-a
capital offense,offense,_hypernym,is-a
pea family,physostigma,_member_meronym,is-a
plural form,sleepwear,_member_of_domain_usage,No direct lexical relation
distress,upset,_hypernym,similar-to
vertebrate,vertebrate foot,_has_part,part-of
pull in,draw in,_verb_group,similar-to
volvocaceae,protoctist family,_hypernym,is-a
travel,progress,_also_see,is-a
hard cheese,tough luck,_hypernym,no direct relation
introduce,attach,_hypernym,similar-to
whirl,whirl,_derivationally_related_form,synonym
bean,hit,_hypernym,"There is no direct lexical relation between ""bean"" and ""hit"" in the context of WordNet."
realization,substantiate,_derivationally_related_form,derived-from
united kingdom of great britain and northern ireland,tombola,_member_of_domain_region,"There is no direct lexical relation between ""united kingdom of great britain and northern ireland"" and ""tombola"" in the context of WordNet."
disprove,negate,_hypernym,similar-to
tiff,squabble,_derivationally_related_form,similar-to
snare,tempt,_hypernym,derived-from
vellicate,vellication,_derivationally_related_form,derived-from
ratchet down,progress,_hypernym,antonym-of
republic of chile,llullaillaco,_has_part,"""has-part"""
stain,stain,_derivationally_related_form,is-a
vaccinator,medical practitioner,_hypernym,is-a
crush,crush,_derivationally_related_form,similar-to
disagreeableness,temperament,_hypernym,is-a
buy,steal,_derivationally_related_form,antonym
sit down,sit down,_verb_group,similar-to
smock,coverall,_hypernym,is-a
brandenburg,geographical region,_instance_hypernym,part-of
totalitarianism,absolutist,_derivationally_related_form,similar-to
ground,tie,_hypernym,derived-from
unravel,unraveller,_derivationally_related_form,derived-from
family capparidaceae,genus cleome,_member_meronym,is-a
parenchyma,plant tissue,_hypernym,part-of
mannheim,urban center,_instance_hypernym,is-a
pincer,member,_hypernym,part-of
order caryophyllales,pink family,_member_meronym,part-of
provocative,exciting,_also_see,similar-to
syzygium,magnoliopsid genus,_hypernym,is-a
straggle,grouping,_hypernym,antonym-of
marking,mark,_derivationally_related_form,derived-from
nutritionary,nutrition,_derivationally_related_form,derived-from
genus alnus,red alder,_member_meronym,is-a
noose,slip noose,_derivationally_related_form,is-a
satirize,roast,_hypernym,similar-to
plan of action,programme,_hypernym,is-a
melopsittacus,shell parakeet,_member_meronym,is-a
dkm,metre,_has_part,derived-from
vim,sprightliness,_hypernym,similar-to
inclination,liking,_hypernym,similar-to
trier,try,_derivationally_related_form,derived-from
trade,craft,_derivationally_related_form,is-a
secular humanism,school of thought,_hypernym,is-a
trade name,propanolol,_member_of_domain_usage,is-a
reception,american football game,_synset_domain_topic_of,part-of
indochinese peninsula,kingdom of cambodia,_has_part,part-of
malediction,maledict,_derivationally_related_form,derived-from
technologist,organize,_derivationally_related_form,related-to
hahnium,element,_hypernym,is-a
final cause,purpose,_hypernym,is-a
geography,earth science,_hypernym,is-a
trust,trust,_derivationally_related_form,similar-to
reductant,reduce,_derivationally_related_form,derived-from
identify,indistinguishability,_derivationally_related_form,antonym-of
order campanulales,goodeniaceae,_member_meronym,"""is-a"""
gentleman,man,_hypernym,is-a
hominidae,genus homo,_member_meronym,is-a
ticino,swiss canton,_instance_hypernym,part-of
quechuan language,quechuan,_derivationally_related_form,is-a
favour,favour,_derivationally_related_form,similar-to
market,market,_derivationally_related_form,synonym
to a higher place,treat,_hypernym,"There is no direct lexical relation between ""to a higher place"" and ""treat"" in the context of WordNet."
photographic camera,viewfinder,_has_part,part-of
productive,generate,_derivationally_related_form,entails
contracture,squeeze,_derivationally_related_form,similar-to
thistle,weed,_hypernym,is-a
consociate,unite,_hypernym,similar-to
splatter,spiller,_derivationally_related_form,similar-to
date,day of the month,_derivationally_related_form,part-of
maritimes,acadia,_has_part,part-of
complaint,objection,_hypernym,similar-to
boot camp,encampment,_hypernym,is-a
underbid,tender,_hypernym,derived-from
flat,picture taking,_synset_domain_topic_of,is-a
veil,modify,_hypernym,derived-from
sensitizer,activator,_hypernym,similar-to
tale,substance,_hypernym,No direct lexical relation
top,topographic point,_hypernym,is-a
panel,panel,_derivationally_related_form,similar-to
peccary,even-toed ungulate,_hypernym,is-a
african,soul,_hypernym,similar-to
browser,shop,_derivationally_related_form,"""derived-from"""
quaker,christian,_hypernym,is-a
insemination,body process,_hypernym,part-of
lily family,xanthorrhoeaceae,_member_meronym,is-a
ranunculaceae,isopyrum,_member_meronym,is-a
souse,souse,_derivationally_related_form,similar-to
integumentary system,tegument,_has_part,part-of
rationalization,explanation,_hypernym,similar-to
sangria,drink,_hypernym,is-a
elettaria cardamomum,cardamum,_has_part,is-a
refer,reference,_derivationally_related_form,derived-from
bouncing,jounce,_derivationally_related_form,similar-to
viewing,screen,_derivationally_related_form,part-of
intangibleness,incorporeality,_hypernym,similar-to
oncorhynchus,quinnat salmon,_member_meronym,is-a
match,equalizer,_derivationally_related_form,is-a
dynamical,hold-down,_similar_to,No direct relation
crossover,musical style,_synset_domain_topic_of,is-a
racing circuit,track,_hypernym,part-of
unconsolable,heartsickness,_derivationally_related_form,similar-to
exert,move,_hypernym,is-a
procrastinate,delay,_hypernym,similar-to
confidence,security,_hypernym,similar-to
depletion,step-down,_hypernym,similar-to
qum,urban center,_instance_hypernym,is-a
distill,distillation,_derivationally_related_form,derived-from
relegate,throw out,_hypernym,similar-to
quaternary period,recent epoch,_has_part,is-a
void,voiding,_derivationally_related_form,derived-from
rossbach,pitched battle,_instance_hypernym,is-a
fthm,mining,_synset_domain_topic_of,No direct relation
sculpture,sculpture,_derivationally_related_form,is-a
fearful,timid,_also_see,similar-to
republic of albania,durres,_has_part,part-of
refute,refuter,_derivationally_related_form,agent
scraping,obeisance,_hypernym,No direct relation
malus,apple tree,_member_meronym,is-a
slug,projectile,_hypernym,derived-from
family carangidae,carangid fish,_member_meronym,is-a
spiritlessness,passivity,_hypernym,similar-to
exact,precise,_also_see,similar-to
word division,hyphenate,_derivationally_related_form,derived-from
hermannia,mahernia verticillata,_member_meronym,is-a
regulator,regulate,_derivationally_related_form,derived-from
genus caltha,magnoliid dicot genus,_hypernym,is-a
titty,mammary gland,_hypernym,part-of
slipper orchid,orchidaceous plant,_hypernym,is-a
therapy,therapist,_derivationally_related_form,agent-of
tone,feel,_derivationally_related_form,similar-to
managing director,supervise,_derivationally_related_form,"""related-to"""
snooper,spy,_hypernym,similar-to
cycle,round,_derivationally_related_form,similar-to
woods,underwood,_member_meronym,part-of
incandesce,modify,_hypernym,"There is no direct lexical relation between ""incandesce"" and ""modify"" in the context of WordNet."
shamanize,shaman,_derivationally_related_form,derived-from
grow,evolution,_derivationally_related_form,"""related-to"""
representation,creation,_hypernym,derived-from
alliterate,alliterator,_derivationally_related_form,derived-from
potentiality,capable,_derivationally_related_form,"""derived-from"""
pushcart,hold,_has_part,part-of
lard,lard,_derivationally_related_form,synonym
chorus line,showgirl,_member_meronym,part-of
polish,smoothen,_derivationally_related_form,similar-to
blooming,organic process,_hypernym,is-a
felidae,panthera,_member_meronym,is-a
ward off,prevent,_hypernym,similar-to
excite,vitalizer,_derivationally_related_form,derived-from
substance,portion,_hypernym,part-of
rowing club,society,_hypernym,is-a
wow,laugh,_hypernym,No direct relation
whiz,whizz,_derivationally_related_form,similar-to
mantle,natural covering,_hypernym,is-a
slammer,correctional institution,_hypernym,is-a
sever,severance,_derivationally_related_form,derived-from
weave,pattern,_hypernym,part-of
inclined plane,simple machine,_hypernym,is-a
the gambia,african nation,_instance_hypernym,is-a
newcastle-upon-tyne,urban center,_instance_hypernym,is-a
unafraid,courageous,_also_see,similar-to
muster,muster,_derivationally_related_form,similar-to
pension,regular payment,_hypernym,is-a
levitate,raise,_hypernym,similar-to
wonder,wonder,_derivationally_related_form,similar-to
expose,unmasking,_derivationally_related_form,similar-to
thioridazine,neuroleptic drug,_hypernym,is-a
wry face,pout,_derivationally_related_form,similar-to
vivify,vivification,_derivationally_related_form,derived-from
unsusceptibility,unsusceptible,_derivationally_related_form,derived-from
count,tally,_derivationally_related_form,similar-to
doubt,doubter,_derivationally_related_form,derived-from
haemoproteidae,genus leucocytozoon,_member_meronym,is-a
impersonate,impersonation,_derivationally_related_form,derived-from
organism,living thing,_hypernym,is-a
spread,spreading,_derivationally_related_form,derived-from
sponsor,present,_derivationally_related_form,derived-from
gelatinize,change,_hypernym,is-a
soft rush,rush,_hypernym,is-a
set phrase,phrasal,_derivationally_related_form,similar-to
violate,wrongdoer,_derivationally_related_form,is-a
sousing,souse,_derivationally_related_form,derived-from
unchangeable,permanent,_also_see,similar-to
wearable,wear,_derivationally_related_form,derived-from
transplant,transplant,_derivationally_related_form,is-a
personnel,organization,_hypernym,part-of
green thumb,strong suit,_hypernym,similar-to
web,web,_derivationally_related_form,synonym
hijacker,outlaw,_hypernym,is-a
amoebous,amoeba,_derivationally_related_form,derived-from
stuff,overeating,_derivationally_related_form,part-of
collider,particle accelerator,_hypernym,is-a
yaw,veer,_derivationally_related_form,similar-to
prunus padus,bird cherry tree,_hypernym,is-a
photographic camera,shutter,_has_part,part-of
squeeze,bosom,_derivationally_related_form,"There is no direct lexical relation between ""squeeze"" and ""bosom"" in the context of WordNet. However, if considering a broader context, one might infer a possible relation such as ""action-on"" or ""interaction-with,"" as squeezing"
fluff,spoil,_derivationally_related_form,"There is no direct lexical relation between ""fluff"" and ""spoil"" in WordNet."
sermon,church service,_synset_domain_topic_of,part-of
splash,splashing,_derivationally_related_form,derived-from
almaty,urban center,_instance_hypernym,is-a
glare,brightness,_hypernym,is-a
interior decoration,ornament,_derivationally_related_form,part-of
salamandridae,taricha,_member_meronym,is-a
emaciate,maceration,_derivationally_related_form,derived-from
sign up,contract,_derivationally_related_form,is-a
radiotherapy,therapy,_hypernym,is-a
nurse,practice of medicine,_synset_domain_topic_of,part-of
isolde,middle ages,_synset_domain_topic_of,related-to
accompany,escort,_derivationally_related_form,similar-to
nonresident,soul,_hypernym,No direct relation
spoil,treat,_hypernym,antonym
earth,terra firma,_derivationally_related_form,similar-to
trope,cakewalk,_member_of_domain_usage,is-a
command,command,_derivationally_related_form,similar-to
mustard family,genus sisymbrium,_member_meronym,is-a
romanticism,liberal arts,_hypernym,is-a
incoherent,unlogical,_also_see,similar-to
louisville,urban center,_instance_hypernym,is-a
romp,recreate,_derivationally_related_form,similar-to
expose,exhibition,_derivationally_related_form,derived-from
thrusting,thrust,_derivationally_related_form,derived-from
distortion,warp,_derivationally_related_form,similar-to
sus scrofa,shote,_derivationally_related_form,is-a
drawing,draw,_derivationally_related_form,derived-from
presumption,presume,_derivationally_related_form,derived-from
melon vine,melon,_has_part,"""part-of"""
rashness,imprudence,_hypernym,similar-to
prohibitionist,social reformer,_hypernym,is-a
landline,telephone line,_hypernym,part-of
wad,set up,_hypernym,"There is no direct lexical relation between ""wad"" and ""set up"" in WordNet."
genital stage,stage,_hypernym,is-a
cask,ring,_has_part,part-of
cautery,instrument,_hypernym,is-a
play,act,_hypernym,is-a
scratch,scabies,_derivationally_related_form,"""symptom-of"""
prognostication,sign,_hypernym,is-a
occlusive,stop consonant,_derivationally_related_form,is-a
sense of right and wrong,morals,_hypernym,similar-to
plan,create mentally,_hypernym,is-a
turdus torquatus,thrush,_hypernym,is-a
tap,tip,_derivationally_related_form,similar-to
musical harmony,music,_hypernym,part-of
sea,recess,_has_part,part-of
hinduism,religious belief,_hypernym,is-a
wrap,roll,_derivationally_related_form,similar-to
hold in,hold,_hypernym,Derived-from
guided missile,warhead,_has_part,part-of
light,return,_hypernym,"There is no direct lexical relation between ""light"" and ""return"" in the context of WordNet."
signal flag,visual signal,_hypernym,is-a
trot,riding,_synset_domain_topic_of,part-of
testimony,testify,_derivationally_related_form,derived-from
smash,guan,_hypernym,"There is no direct lexical relation between ""smash"" and ""guan"" in WordNet."
vasectomize,unsex,_hypernym,similar-to
genus agonus,pogge,_member_meronym,is-a
extortion,felony,_hypernym,is-a
skirt,garment,_hypernym,is-a
eumycota,subdivision deuteromycotina,_member_meronym,part-of
newsflash,bulletin,_hypernym,similar-to
intubate,introduce,_hypernym,derived-from
tidewater region,geographical region,_instance_hypernym,part-of
naming,speech act,_hypernym,is-a
miler,swedish mile,_derivationally_related_form,is-a
scollop,scollop,_derivationally_related_form,similar-to
plant,nidation,_derivationally_related_form,"There is no direct lexical relation between ""plant"" and ""nidation"" in WordNet. ""Nidation"" refers to the implantation of a fertilized egg in the uterus, which is unrelated to the concept of ""plant."" Therefore, no"
communism,communize,_derivationally_related_form,derived-from
disinvolve,free,_hypernym,similar-to
sensible,valid,_also_see,similar-to
extensor muscle,stretch,_derivationally_related_form,causes
indoctrination,teaching,_hypernym,is-a
adhere,put through,_hypernym,No direct relation
thought-reader,thought transference,_derivationally_related_form,similar-to
teardrop,drop,_hypernym,is-a
ukrayina,danube river,_has_part,"""part-of"""
self-assertive,aggressive,_also_see,similar-to
atomic number 13,aluminize,_derivationally_related_form,derived-from
mucus,secretion,_hypernym,is-a
speculator,theorize,_derivationally_related_form,derived-from
orchidaceae,genus cleistes,_member_meronym,is-a
suffocate,suffocation,_derivationally_related_form,derived-from
extraordinary,impressive,_also_see,similar-to
fence,tilt,_derivationally_related_form,"There is no direct lexical relation between ""fence"" and ""tilt"" in the context of WordNet."
style,variety,_hypernym,is-a
unthaw,liquify,_hypernym,similar-to
muster in,tour of duty,_derivationally_related_form,part-of
onanist,onanism,_derivationally_related_form,is-a
compressor,squeeze,_derivationally_related_form,derived-from
violator,violate,_derivationally_related_form,derived-from
prance,riding,_synset_domain_topic_of,part-of
myelin sheath,oligodendroglia,_has_part,part-of
three-day measles,rubeola,_hypernym,is-a
idolization,worship,_derivationally_related_form,similar-to
equalizer,counterweight,_derivationally_related_form,similar-to
marginal wood fern,woodfern,_hypernym,is-a
fund,put,_hypernym,derived-from
propionic acid,carboxylic acid,_hypernym,is-a
view,study,_hypernym,is-a
inclement,unmerciful,_also_see,similar-to
midfield,middle,_hypernym,similar-to
hydrozoa,siphonophora,_member_meronym,is-a
clipper,snip off,_derivationally_related_form,derived-from
interact,move,_hypernym,is-a
vindicate,vindication,_derivationally_related_form,derived-from
pollution,contaminate,_derivationally_related_form,causes
taxi,ride,_hypernym,part-of
longways dance,country dancing,_hypernym,is-a
covenant,plight,_hypernym,is-a
response,upshot,_hypernym,is-a
piloting,think of,_hypernym,derived-from
melancholy,liquid body substance,_hypernym,No direct lexical relation
pair,partner off,_derivationally_related_form,is-a
falsify,untruth,_derivationally_related_form,derived-from
typify,symbolizer,_derivationally_related_form,is-a
autograph,written material,_hypernym,is-a
system,organize,_derivationally_related_form,"""related-to"""
triton,seasnail,_hypernym,is-a
exit,leave,_derivationally_related_form,similar-to
wane,diminution,_hypernym,similar-to
ghent,port,_instance_hypernym,part-of
turn over,roller,_derivationally_related_form,part-of
trailblazer,pioneer,_derivationally_related_form,similar-to
slit,slit,_derivationally_related_form,similar-to
personality,attribute,_hypernym,has-as
mix,change integrity,_hypernym,causes
sell,mercantilism,_synset_domain_topic_of,related-to
germany,dusseldorf,_has_part,part-of
name,diagnosis,_derivationally_related_form,is-a
tergiversate,prevaricator,_derivationally_related_form,similar-to
order isospondyli,family coregonidae,_member_meronym,is-a
appeal,appellate,_derivationally_related_form,derived-from
parabolical,parable,_derivationally_related_form,derived-from
sterilize,sterilizer,_derivationally_related_form,derived-from
implementation,human activity,_hypernym,is-a
clink,sound,_hypernym,hyponym
unmerciful,unmercifulness,_derivationally_related_form,derived-from
persian,persian,_derivationally_related_form,similar-to
sudan,darfur,_has_part,part-of
poise,balance,_derivationally_related_form,similar-to
white,trouser,_hypernym,similar-to
pompadour,hairstyle,_hypernym,is-a
stitchery,needlework,_hypernym,is-a
courtroom,room,_hypernym,is-a
break,surf,_derivationally_related_form,is-a
temperature,physical property,_hypernym,is-a
tenderizer,compound,_hypernym,derived-from
sting,pierce,_hypernym,similar-to
turn down,sneerer,_derivationally_related_form,"There is no direct lexical relation between ""turn down"" and ""sneerer"" in the context of WordNet."
switch over,turn,_hypernym,is-a
islamic state of afghanistan,the pamirs,_has_part,part-of
body,substance,_hypernym,"""part-of"""
myriophyllum,water milfoil,_member_meronym,is-a
vividness,intensify,_derivationally_related_form,derived-from
whop,hit,_hypernym,similar-to
scull,row,_hypernym,is-a
tyrannus tyrannus,tyrant flycatcher,_hypernym,is-a
protect,protective covering,_derivationally_related_form,"""has-part"""
rank,rank,_derivationally_related_form,similar-to
assist,ice hockey,_synset_domain_topic_of,no direct relation
family cervidae,genus elaphurus,_member_meronym,is-a
ketamine hydrochloride,general anesthetic,_hypernym,is-a
los angeles,port of entry,_instance_hypernym,part-of
waddle,walk,_hypernym,similar-to
genus cephalotaxus,gymnosperm genus,_hypernym,is-a
excise tax,indirect tax,_hypernym,is-a
deliberation,word,_hypernym,no-direct-relation
wagon,van,_hypernym,is-a
mammea,mammee tree,_member_meronym,is-a
snuggling,neck,_derivationally_related_form,part-of
mash,squelch,_derivationally_related_form,similar-to
freeholder,property owner,_hypernym,is-a
equation,maths,_synset_domain_topic_of,part-of
irritation,sensitization,_hypernym,causes
ride,journeying,_hypernym,similar-to
stick in,inset,_derivationally_related_form,derived-from
accompanyist,player,_hypernym,is-a
remember,remembrance,_derivationally_related_form,derived-from
ecclesiastical calendar,shrovetide,_has_part,part-of
reinvigorate,stimulate,_hypernym,similar-to
watch,watch out,_derivationally_related_form,derived-from
vocal,sing,_derivationally_related_form,is-a
hoover,vacuum cleaner,_hypernym,is-a
broken,imperfect,_also_see,similar-to
proteaceae,stenocarpus,_member_meronym,is-a
food web,food chain,_has_part,part-of
steamroller,steamroller,_verb_group,synonym
reformation,reform,_derivationally_related_form,derived-from
spellbinder,spellbind,_derivationally_related_form,derived-from
disparagement,queer,_member_of_domain_usage,is-a
cavy,rodent,_hypernym,is-a
ratibida,asterid dicot genus,_hypernym,is-a
outroar,surpass,_hypernym,derived-from
suggest,suggester,_derivationally_related_form,derived-from
unintelligent,stupid person,_derivationally_related_form,is-a
solarization,sun,_derivationally_related_form,related-to
genus stevia,asterid dicot genus,_hypernym,is-a
league,linear unit,_hypernym,no direct relation
market analyst,stock market,_synset_domain_topic_of,analyzes
pregnancy,have a bun in the oven,_derivationally_related_form,similar-to
hierarchy,series,_hypernym,similar-to
squelch,suppression,_derivationally_related_form,similar-to
germany,ruhr river,_has_part,part-of
linguistic scientist,scientist,_hypernym,is-a
electromagnetic spectrum,radio spectrum,_has_part,part-of
pouteria,sapote,_member_meronym,is-a
scrap,scrap,_derivationally_related_form,similar-to
abidjan,urban center,_instance_hypernym,is-a
uranology,uranologist,_derivationally_related_form,derived-from
strike out,strikeout,_derivationally_related_form,is-a
ascii character,graphic symbol,_hypernym,is-a
siesta,snooze,_hypernym,similar-to
metrify,verse,_synset_domain_topic_of,derived-from
take,get,_hypernym,similar-to
vicia,vicia faba,_member_meronym,is-a
negligent,negligence,_derivationally_related_form,derived-from
tirich mir,mountain peak,_instance_hypernym,is-a
peanut,seedpod,_hypernym,part-of
screening,cover,_derivationally_related_form,part-of
wuss,soul,_hypernym,is-a
adulthood,grownup,_derivationally_related_form,is-a
federal agent,agential,_derivationally_related_form,is-a
stunting,stunt,_derivationally_related_form,derived-from
traverse,pass,_hypernym,similar-to
rebate,groove,_hypernym,"There is no direct lexical relation between ""rebate"" and ""groove"" in the context of WordNet."
master,control,_hypernym,is-a
disfigurement,disfigure,_derivationally_related_form,derived-from
genus crataegus,summer haw,_member_meronym,is-a
semblance,picture,_hypernym,similar-to
halimodendron,salt tree,_member_meronym,is-a
tergiversation,tergiversate,_derivationally_related_form,derived-from
boxwood,shrub,_hypernym,is-a
family compositae,genus arctium,_member_meronym,is-a
inebriation,souse,_derivationally_related_form,similar-to
interruption,interrupt,_derivationally_related_form,derived-from
clozaril,neuroleptic drug,_hypernym,is-a
twist,whirlpool,_derivationally_related_form,similar-to
fomenter,troubler,_hypernym,similar-to
genus architeuthis,sink,_member_meronym,No direct relation
gentamicin,antibiotic drug,_hypernym,is-a
passionate,loving,_also_see,similar-to
prairie wagon,wagon,_hypernym,is-a
africa,republic of cameroon,_has_part,part-of
tense,syntactic category,_hypernym,part-of
cotonou,urban center,_instance_hypernym,is-a
world war i,world war,_instance_hypernym,is-a
genus echidnophaga,arthropod genus,_hypernym,is-a
stub,portion,_hypernym,part-of
hearing loss,hearing impairment,_hypernym,similar-to
luggage,hold,_has_part,part-of
papaver,papaver rhoeas,_member_meronym,is-a
breeding,production,_hypernym,is-a
oryctolagus,mammal genus,_hypernym,is-a
parametric statistic,statistics,_synset_domain_topic_of,is-a
white,chess game,_synset_domain_topic_of,part-of
recuperate,recovery,_derivationally_related_form,derived-from
signature,name,_hypernym,derived-from
parader,march,_derivationally_related_form,is-a
bar,railing,_hypernym,part-of
crustacea,subclass ostracoda,_member_meronym,is-a
bowtie,tie,_hypernym,is-a
field of honor,front line,_has_part,similar-to
st. gregory of nazianzen,doctor of the church,_instance_hypernym,is-a
sacrilege,violation,_hypernym,is-a
united states department of defense,defense advanced research projects agency,_has_part,part-of
deck,ornament,_hypernym,part-of
helenium,sneezeweed,_member_meronym,is-a
essential,necessary,_also_see,similar-to
take,take up,_verb_group,derived-from
habituation,habituate,_derivationally_related_form,derived-from
untruth,statement,_hypernym,is-a
cut up,compartment,_derivationally_related_form,part-of
calcify,modify,_hypernym,antonym
watch glass,protective covering,_hypernym,part-of
collaborate,quisling,_derivationally_related_form,antonym
spotlight,foreground,_derivationally_related_form,similar-to
swan,aquatic bird,_hypernym,is-a
identification,name,_derivationally_related_form,derived-from
rosales,stonecrop family,_member_meronym,is-a
develop,picture taking,_synset_domain_topic_of,"""part-of"""
shaft of light,visible radiation,_hypernym,is-a
drive,squash racquets,_synset_domain_topic_of,No direct lexical relation
suborder ruminantia,ruminant,_member_meronym,is-a
channel island,island,_instance_hypernym,is-a
put through,follow-through,_derivationally_related_form,similar-to
shout,call out,_verb_group,similar-to
shut out,exclusion,_derivationally_related_form,synonym
phylum arthropoda,crustacea,_member_meronym,is-a
